ACTUAL,LSVR,LASSO,RIDGE,ENSEMBLE,LSTM
71.41800156,71.23885286,71.26596532,71.26078473,71.25520097,71.420845
71.27499926,71.3727707,71.40027129,71.39492167,71.38932122,71.28931
71.15500078,71.23091699,71.25800645,71.25283587,71.2472531,71.17804
71.45100194,71.11187891,71.13862336,71.13360304,71.1280351,71.45103
71.54899861,71.40550617,71.43310164,71.42771069,71.42210617,71.54029
71.43900152,71.50272061,71.53059783,71.52508417,71.51946753,71.440056
71.9300006,71.39360237,71.42116333,71.41578741,71.41018437,71.88186
71.51299763,71.88066651,71.90963912,71.90364841,71.89798468,71.50757
72.02500017,71.46700918,71.4947829,71.48931432,71.48370214,71.96564
71.54299935,71.974905,72.00415073,71.99804107,71.9923656,71.53484
71.82899757,71.4967687,71.52462867,71.51912253,71.51350664,71.792175
71.68999925,71.78047613,71.80915836,71.80329411,71.79764287,71.667725
71.45299815,71.64259035,71.67087295,71.66518275,71.65954868,71.45286
71.96900209,71.40749014,71.43509136,71.42969791,71.42409314,71.91632
72.16999961,71.91935389,71.94843863,71.94239908,71.93673053,72.092415
71.98900066,72.11874268,72.14840529,72.14211407,72.13642068,71.93396
71.92799835,71.93919357,71.96833581,71.96227122,71.9566002,71.8801
71.64500074,71.87868255,71.9076494,71.9016612,71.89599772,71.62718
71.77800212,71.59795107,71.62610429,71.62047044,71.61484193,71.74665
71.87500247,71.72988495,71.75842055,71.75262016,71.74697522,71.8331
71.57700168,71.82610739,71.85492187,71.84900003,71.8433431,71.5657
70.96700205,71.53049616,71.55845388,71.55290517,71.54728507,71.00211
70.98500137,70.92538591,70.95158986,70.94680494,70.94126024,71.01904
71.57999892,70.94324163,70.96949732,70.96468987,70.95914294,71.56841
71.49000177,71.53347211,71.56143846,71.55588599,71.55026552,71.48662
71.14499763,71.44419355,71.47190114,71.46646136,71.46085202,71.16873
71.37499939,71.10195907,71.12867477,71.12366697,71.11810027,71.38142
71.07499869,71.33011539,71.35749235,71.35219657,71.34660144,71.10342
70.79900142,71.03252019,71.05903464,71.05411449,71.04855644,70.8433
70.97100111,70.7587326,70.78445354,70.77987898,70.77435504,71.005875
70.98799962,70.92935385,70.9555693,70.95077937,70.94523417,71.02186
70.96400053,70.94621758,70.9724819,70.96767069,70.96212339,70.99929
70.50899811,70.92240996,70.94860528,70.94382412,70.93827979,70.56576
70.64500229,70.47105724,70.49594442,70.49173297,70.48624487,70.69644
71.10999863,70.60596706,70.63124525,70.62686351,70.62135861,71.1361
71.03000179,71.06723963,71.0938547,71.08889073,71.08332835,71.06128
70.82500077,70.98788091,71.01426598,71.00940218,71.00384969,70.86797
70.97500062,70.78452418,70.81031987,70.80571276,70.80018561,71.009636
71.21999858,70.93332179,70.95954873,70.9547538,70.9492081,71.23841
71.12000206,71.17635787,71.2032892,71.19818749,71.19261152,71.14543
70.99000028,71.07715947,71.10380329,71.0988268,71.09326319,71.02374
70.92399784,70.94820155,70.97447162,70.9696579,70.96411035,70.96161
71.23699987,70.8827306,70.90881092,70.90407984,70.89854045,71.254166
71.49999993,71.1932216,71.2202018,71.21507881,71.20950074,71.49573
71.3640023,71.45411339,71.48184973,71.47639743,71.47078685,71.371315
71.12999818,71.31920357,71.3465489,71.34126689,71.33567312,71.154755
71.09000022,71.08707931,71.11375188,71.10876287,71.10319802,71.11743
70.92499887,71.04739995,71.07395752,71.06901859,71.06345869,70.96255
70.80899776,70.88372259,70.90980578,70.90507345,70.89953394,70.85279
70.72499914,70.76865244,70.79440213,70.78981505,70.78428987,70.77288
70.96499765,70.68532578,70.71083397,70.70635206,70.70083727,71.00023
70.81999999,70.92340195,70.94960014,70.94481773,70.93927327,70.863235
70.74499789,70.77956426,70.80534558,70.80074472,70.79521819,70.79194
70.88999985,70.70516546,70.73073115,70.7262242,70.72070694,70.929504
70.95299882,70.84900314,70.87498571,70.87029721,70.86476202,70.98893
70.97999812,70.91149814,70.93766183,70.93289444,70.92735147,71.01434
70.76000062,70.93828171,70.96452303,70.95972183,70.95417552,70.80622
70.78899789,70.72004522,70.74565404,70.74112831,70.73560919,70.83379
70.77499969,70.74881276,70.77450495,70.76994291,70.76442021,70.82049
71.00999792,70.73492498,70.76057692,70.75603241,70.75051144,71.04252
71.0469983,70.96804123,70.9943688,70.98953004,70.98398002,71.07721
71.35999957,71.00474463,71.03117858,71.0262935,71.0207389,71.36764
71.56999886,71.31523563,71.34256947,71.33729246,71.33169919,71.55935
71.78999817,71.52355227,71.55148987,71.54594992,71.54033068,71.75738
72.14999927,71.74178875,71.77035886,71.76454344,71.75889702,72.075005
71.96599808,72.098903,72.12850811,72.12224194,72.11655102,71.91367
71.65000064,71.91637794,71.94545405,71.93941826,71.93375008,71.6317
71.94499776,71.60291099,71.63107859,71.62543847,71.61980935,71.89513
71.82999851,71.89554627,71.92456201,71.91855252,71.91288693,71.79307
71.74600136,71.78146811,71.81015322,71.80428772,71.79863635,71.71801
71.75000118,71.69814146,71.72658506,71.72082474,71.71518375,71.72159
71.79199791,71.70210939,71.73056449,71.72479917,71.71915768,71.75916
71.68900221,71.74377272,71.77234857,71.76653066,71.76088398,71.66683
71.48000129,71.64159837,71.66987809,71.66418914,71.6585552,71.4775
71.26000081,71.43427371,71.46195255,71.45652529,71.45091719,71.275444
71.50500006,71.21603723,71.24308356,71.23793177,71.23235085,71.50028
71.74900247,71.45907331,71.48682403,71.48136547,71.47575427,71.720695
71.6340024,71.70111741,71.72956963,71.72380556,71.7181642,71.617256
71.73999989,71.58703925,71.61516084,71.60954076,71.60391362,71.71263
71.47399826,71.69218955,71.7206159,71.7148631,71.70922285,71.47203
71.2519988,71.42832181,71.4559834,71.45056365,71.44495629,71.26804
71.28300136,71.20810136,71.23512469,71.22998292,71.22440299,71.2967
70.96999878,71.23885286,71.26596532,71.26078473,71.25520097,71.00494
70.81000055,70.92836187,70.95457444,70.94978576,70.94424069,70.853745
70.71000124,70.76964442,70.79539699,70.79080865,70.78528336,70.75857
70.57000167,70.67044602,70.69591108,70.69144796,70.68593502,70.62449
70.79799894,70.53156826,70.55663082,70.55234299,70.54684736,70.84235
70.91499993,70.75774062,70.78345868,70.77888537,70.77336156,70.95311
71.035002,70.87380274,70.89985719,70.89513738,70.8895991,71.06597
